Running: torchrun --standalone --nproc_per_node=4 records/track_3_optimization/train_gpt_simple_leonh.py --trials 1 --out-dir records/track_3_optimization/runs/leonh/20260514-precond-side/input_3325_lr025_4gpu --set train_steps=3325 --set leon_lr=0.025 --set leon_beta2=0.6 --set leon_mu=0.95 --set leon_ns_iters=12 --set leon_orthogonalize_dtype=float32 --set leon_eps=1e-12 --set leon_cooldown_frac=1.0 --set leon_precondition_side=input
W0514 13:43:13.439000 1042141 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] 
W0514 13:43:13.439000 1042141 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] *****************************************
W0514 13:43:13.439000 1042141 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0514 13:43:13.439000 1042141 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] *****************************************
records/track_3_optimization/runs/leonh/20260514-precond-side/input_3325_lr025_4gpu/train.log
step:136/3325 train_time:92.449s step_avg:679.77ms
step:137/3325 train_time:93.112s step_avg:679.65ms
step:138/3325 train_time:93.778s step_avg:679.55ms
step:139/3325 train_time:94.441s step_avg:679.44ms
step:140/3325 train_time:95.106s step_avg:679.33ms
step:141/3325 train_time:95.769s step_avg:679.22ms
step:142/3325 train_time:96.442s step_avg:679.17ms
step:143/3325 train_time:97.105s step_avg:679.06ms
step:144/3325 train_time:97.773s step_avg:678.98ms
step:145/3325 train_time:98.441s step_avg:678.90ms
step:146/3325 train_time:99.107s step_avg:678.82ms
step:147/3325 train_time:99.768s step_avg:678.69ms
step:148/3325 train_time:100.435s step_avg:678.61ms
step:149/3325 train_time:101.102s step_avg:678.54ms
step:150/3325 train_time:101.766s step_avg:678.44ms
step:151/3325 train_time:102.433s step_avg:678.36ms
step:152/3325 train_time:103.095s step_avg:678.25ms
step:153/3325 train_time:103.761s step_avg:678.18ms
step:154/3325 train_time:104.428s step_avg:678.10ms
step:155/3325 train_time:105.089s step_avg:677.99ms
step:156/3325 train_time:105.752s step_avg:677.90ms
step:157/3325 train_time:106.423s step_avg:677.85ms
step:158/3325 train_time:107.087s step_avg:677.77ms
step:159/3325 train_time:107.749s step_avg:677.67ms
step:160/3325 train_time:108.415s step_avg:677.59ms
step:161/3325 train_time:109.081s step_avg:677.52ms
step:162/3325 train_time:109.747s step_avg:677.45ms
step:163/3325 train_time:110.410s step_avg:677.36ms
step:164/3325 train_time:111.081s step_avg:677.33ms
step:165/3325 train_time:111.745s step_avg:677.24ms
step:166/3325 train_time:112.414s step_avg:677.19ms
step:167/3325 train_time:113.075s step_avg:677.10ms
step:168/3325 train_time:113.742s step_avg:677.04ms
step:169/3325 train_time:114.407s step_avg:676.97ms
step:170/3325 train_time:115.078s step_avg:676.93ms
step:171/3325 train_time:115.743s step_avg:676.86ms
step:172/3325 train_time:116.408s step_avg:676.79ms
step:173/3325 train_time:117.069s step_avg:676.70ms
