Running: torchrun --standalone --nproc_per_node=4 records/track_3_optimization/train_gpt_simple_leonh.py --trials 1 --out-dir records/track_3_optimization/runs/leonh/20260514-precond-side/auto_1500_4gpu --set train_steps=1500 --set leon_lr=0.0175 --set leon_beta2=0.6 --set leon_mu=0.95 --set leon_ns_iters=12 --set leon_orthogonalize_dtype=float32 --set leon_eps=1e-12 --set leon_cooldown_frac=1.0 --set leon_precondition_side=auto
W0514 11:10:28.430000 393194 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] 
W0514 11:10:28.430000 393194 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] *****************************************
W0514 11:10:28.430000 393194 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0514 11:10:28.430000 393194 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] *****************************************
records/track_3_optimization/runs/leonh/20260514-precond-side/auto_1500_4gpu/train.log
step:385/1500 train_time:189.201s step_avg:491.43ms
step:386/1500 train_time:189.686s step_avg:491.41ms
step:387/1500 train_time:190.175s step_avg:491.41ms
step:388/1500 train_time:190.662s step_avg:491.40ms
step:389/1500 train_time:191.147s step_avg:491.38ms
step:390/1500 train_time:191.635s step_avg:491.37ms
step:391/1500 train_time:192.121s step_avg:491.36ms
step:392/1500 train_time:192.608s step_avg:491.35ms
step:393/1500 train_time:193.093s step_avg:491.33ms
step:394/1500 train_time:193.579s step_avg:491.32ms
step:395/1500 train_time:194.067s step_avg:491.31ms
step:396/1500 train_time:194.553s step_avg:491.30ms
step:397/1500 train_time:195.040s step_avg:491.28ms
step:398/1500 train_time:195.525s step_avg:491.27ms
step:399/1500 train_time:196.010s step_avg:491.25ms
step:400/1500 train_time:196.495s step_avg:491.24ms
step:401/1500 train_time:196.980s step_avg:491.22ms
step:402/1500 train_time:197.467s step_avg:491.21ms
step:403/1500 train_time:197.956s step_avg:491.21ms
step:404/1500 train_time:198.442s step_avg:491.19ms
step:405/1500 train_time:198.927s step_avg:491.18ms
step:406/1500 train_time:199.414s step_avg:491.17ms
step:407/1500 train_time:199.900s step_avg:491.15ms
step:408/1500 train_time:200.382s step_avg:491.13ms
step:409/1500 train_time:200.868s step_avg:491.12ms
step:410/1500 train_time:201.356s step_avg:491.11ms
step:411/1500 train_time:201.840s step_avg:491.10ms
step:412/1500 train_time:202.327s step_avg:491.08ms
step:413/1500 train_time:202.813s step_avg:491.07ms
step:414/1500 train_time:203.300s step_avg:491.06ms
step:415/1500 train_time:203.784s step_avg:491.04ms
step:416/1500 train_time:204.270s step_avg:491.03ms
step:417/1500 train_time:204.758s step_avg:491.03ms
step:418/1500 train_time:205.243s step_avg:491.01ms
step:419/1500 train_time:205.727s step_avg:491.00ms
step:420/1500 train_time:206.213s step_avg:490.98ms
step:421/1500 train_time:206.700s step_avg:490.97ms
step:422/1500 train_time:207.185s step_avg:490.96ms
step:423/1500 train_time:207.671s step_avg:490.95ms
step:424/1500 train_time:208.159s step_avg:490.94ms
step:425/1500 train_time:208.644s step_avg:490.93ms
step:426/1500 train_time:209.131s step_avg:490.92ms
step:427/1500 train_time:209.617s step_avg:490.91ms
step:428/1500 train_time:210.104s step_avg:490.90ms
step:429/1500 train_time:210.588s step_avg:490.88ms
step:430/1500 train_time:211.076s step_avg:490.87ms
step:431/1500 train_time:211.563s step_avg:490.87ms
step:432/1500 train_time:212.048s step_avg:490.85ms
step:433/1500 train_time:212.535s step_avg:490.84ms
step:434/1500 train_time:213.021s step_avg:490.83ms
step:435/1500 train_time:213.507s step_avg:490.82ms
step:436/1500 train_time:213.991s step_avg:490.81ms
step:437/1500 train_time:214.478s step_avg:490.80ms
step:438/1500 train_time:214.965s step_avg:490.79ms
step:439/1500 train_time:215.451s step_avg:490.78ms
step:440/1500 train_time:215.938s step_avg:490.77ms
step:441/1500 train_time:216.423s step_avg:490.75ms
step:442/1500 train_time:216.910s step_avg:490.75ms
step:443/1500 train_time:217.393s step_avg:490.73ms
step:444/1500 train_time:217.879s step_avg:490.72ms
step:445/1500 train_time:218.366s step_avg:490.71ms
step:446/1500 train_time:218.852s step_avg:490.70ms
step:447/1500 train_time:219.338s step_avg:490.69ms
step:448/1500 train_time:219.824s step_avg:490.68ms
step:449/1500 train_time:220.312s step_avg:490.67ms
step:450/1500 train_time:220.798s step_avg:490.66ms
step:451/1500 train_time:221.282s step_avg:490.65ms
step:452/1500 train_time:221.768s step_avg:490.64ms
step:453/1500 train_time:222.255s step_avg:490.63ms
step:454/1500 train_time:222.741s step_avg:490.62ms
step:455/1500 train_time:223.226s step_avg:490.61ms
step:456/1500 train_time:223.710s step_avg:490.59ms
step:457/1500 train_time:224.195s step_avg:490.58ms
step:458/1500 train_time:224.680s step_avg:490.57ms
step:459/1500 train_time:225.166s step_avg:490.56ms
step:460/1500 train_time:225.654s step_avg:490.55ms
step:461/1500 train_time:226.141s step_avg:490.54ms
step:462/1500 train_time:226.625s step_avg:490.53ms
step:463/1500 train_time:227.112s step_avg:490.52ms
