Running: torchrun --standalone --nproc_per_node=4 records/track_3_optimization/train_gpt_simple_leonh.py --trials 1 --out-dir records/track_3_optimization/runs/leonh/20260514-precond-side/output_1500_4gpu --set train_steps=1500 --set leon_lr=0.0175 --set leon_beta2=0.6 --set leon_mu=0.95 --set leon_ns_iters=12 --set leon_orthogonalize_dtype=float32 --set leon_eps=1e-12 --set leon_cooldown_frac=1.0 --set leon_precondition_side=output
W0514 11:40:51.631000 525786 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] 
W0514 11:40:51.631000 525786 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] *****************************************
W0514 11:40:51.631000 525786 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0514 11:40:51.631000 525786 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] *****************************************
records/track_3_optimization/runs/leonh/20260514-precond-side/output_1500_4gpu/train.log
step:336/1500 train_time:225.504s step_avg:671.14ms
step:337/1500 train_time:226.168s step_avg:671.12ms
step:338/1500 train_time:226.833s step_avg:671.10ms
step:339/1500 train_time:227.495s step_avg:671.08ms
step:340/1500 train_time:228.158s step_avg:671.05ms
step:341/1500 train_time:228.820s step_avg:671.03ms
step:342/1500 train_time:229.483s step_avg:671.00ms
step:343/1500 train_time:230.143s step_avg:670.97ms
step:344/1500 train_time:230.803s step_avg:670.94ms
step:345/1500 train_time:231.467s step_avg:670.92ms
step:346/1500 train_time:232.129s step_avg:670.89ms
step:347/1500 train_time:232.797s step_avg:670.88ms
step:348/1500 train_time:233.458s step_avg:670.86ms
step:349/1500 train_time:234.120s step_avg:670.83ms
step:350/1500 train_time:234.783s step_avg:670.81ms
step:351/1500 train_time:235.445s step_avg:670.78ms
step:352/1500 train_time:236.106s step_avg:670.76ms
step:353/1500 train_time:236.771s step_avg:670.74ms
step:354/1500 train_time:237.435s step_avg:670.72ms
step:355/1500 train_time:238.098s step_avg:670.70ms
step:356/1500 train_time:238.760s step_avg:670.68ms
step:357/1500 train_time:239.421s step_avg:670.65ms
step:358/1500 train_time:240.083s step_avg:670.62ms
step:359/1500 train_time:240.746s step_avg:670.60ms
step:360/1500 train_time:241.407s step_avg:670.57ms
step:361/1500 train_time:242.072s step_avg:670.56ms
step:362/1500 train_time:242.732s step_avg:670.53ms
step:363/1500 train_time:243.399s step_avg:670.52ms
step:364/1500 train_time:244.062s step_avg:670.50ms
step:365/1500 train_time:244.723s step_avg:670.47ms
step:366/1500 train_time:245.386s step_avg:670.45ms
step:367/1500 train_time:246.049s step_avg:670.43ms
step:368/1500 train_time:246.709s step_avg:670.40ms
step:369/1500 train_time:247.383s step_avg:670.41ms
step:370/1500 train_time:248.046s step_avg:670.39ms
step:371/1500 train_time:248.713s step_avg:670.38ms
step:372/1500 train_time:249.376s step_avg:670.37ms
step:373/1500 train_time:250.040s step_avg:670.35ms
step:374/1500 train_time:250.704s step_avg:670.33ms
step:375/1500 train_time:251.367s step_avg:670.31ms
step:375/1500 val_loss:3.97025 train_time:251.378s step_avg:663.18ms
step:376/1500 train_time:252.040s step_avg:670.32ms
step:377/1500 train_time:252.696s step_avg:670.28ms
step:378/1500 train_time:253.365s step_avg:670.28ms
step:379/1500 train_time:254.023s step_avg:670.25ms
step:380/1500 train_time:254.689s step_avg:670.24ms
step:381/1500 train_time:255.367s step_avg:670.25ms
step:382/1500 train_time:256.028s step_avg:670.23ms
step:383/1500 train_time:256.689s step_avg:670.21ms
step:384/1500 train_time:257.354s step_avg:670.19ms
step:385/1500 train_time:258.014s step_avg:670.17ms
step:386/1500 train_time:258.678s step_avg:670.15ms
step:387/1500 train_time:259.340s step_avg:670.13ms
step:388/1500 train_time:260.002s step_avg:670.11ms
step:389/1500 train_time:260.670s step_avg:670.10ms
step:390/1500 train_time:261.331s step_avg:670.08ms
step:391/1500 train_time:261.994s step_avg:670.06ms
step:392/1500 train_time:262.657s step_avg:670.04ms
step:393/1500 train_time:263.322s step_avg:670.03ms
step:394/1500 train_time:263.987s step_avg:670.02ms
step:395/1500 train_time:264.648s step_avg:670.00ms
step:396/1500 train_time:265.311s step_avg:669.98ms
step:397/1500 train_time:265.975s step_avg:669.96ms
step:398/1500 train_time:266.636s step_avg:669.94ms
step:399/1500 train_time:267.300s step_avg:669.92ms
step:400/1500 train_time:267.962s step_avg:669.91ms
step:401/1500 train_time:268.627s step_avg:669.89ms
step:402/1500 train_time:269.288s step_avg:669.87ms
step:403/1500 train_time:269.951s step_avg:669.85ms
step:404/1500 train_time:270.612s step_avg:669.83ms
step:405/1500 train_time:271.275s step_avg:669.81ms
step:406/1500 train_time:271.939s step_avg:669.80ms
step:407/1500 train_time:272.599s step_avg:669.78ms
step:408/1500 train_time:273.273s step_avg:669.79ms
step:409/1500 train_time:273.934s step_avg:669.76ms
step:410/1500 train_time:274.598s step_avg:669.75ms
step:411/1500 train_time:275.261s step_avg:669.73ms
step:412/1500 train_time:275.930s step_avg:669.73ms
step:413/1500 train_time:276.592s step_avg:669.71ms
step:414/1500 train_time:277.255s step_avg:669.70ms
step:415/1500 train_time:277.916s step_avg:669.68ms
step:416/1500 train_time:278.581s step_avg:669.67ms
step:417/1500 train_time:279.242s step_avg:669.64ms
step:418/1500 train_time:279.907s step_avg:669.63ms
step:419/1500 train_time:280.574s step_avg:669.63ms
step:420/1500 train_time:281.237s step_avg:669.61ms
step:421/1500 train_time:281.897s step_avg:669.59ms
step:422/1500 train_time:282.565s step_avg:669.59ms
step:423/1500 train_time:283.231s step_avg:669.58ms
step:424/1500 train_time:283.899s step_avg:669.57ms
step:425/1500 train_time:284.561s step_avg:669.56ms
step:426/1500 train_time:285.225s step_avg:669.54ms
step:427/1500 train_time:285.893s step_avg:669.54ms
step:428/1500 train_time:286.556s step_avg:669.52ms
step:429/1500 train_time:287.218s step_avg:669.51ms
step:430/1500 train_time:287.882s step_avg:669.49ms
step:431/1500 train_time:288.546s step_avg:669.48ms
step:432/1500 train_time:289.206s step_avg:669.46ms
step:433/1500 train_time:289.870s step_avg:669.45ms
step:434/1500 train_time:290.531s step_avg:669.43ms
step:435/1500 train_time:291.193s step_avg:669.41ms
step:436/1500 train_time:291.855s step_avg:669.39ms
step:437/1500 train_time:292.514s step_avg:669.37ms
step:438/1500 train_time:293.178s step_avg:669.36ms
step:439/1500 train_time:293.839s step_avg:669.34ms
step:440/1500 train_time:294.504s step_avg:669.33ms
step:441/1500 train_time:295.169s step_avg:669.32ms
step:442/1500 train_time:295.830s step_avg:669.30ms
step:443/1500 train_time:296.493s step_avg:669.28ms
step:444/1500 train_time:297.156s step_avg:669.27ms
step:445/1500 train_time:297.819s step_avg:669.26ms
step:446/1500 train_time:298.483s step_avg:669.24ms
step:447/1500 train_time:299.148s step_avg:669.24ms
step:448/1500 train_time:299.807s step_avg:669.21ms
step:449/1500 train_time:300.475s step_avg:669.21ms
step:450/1500 train_time:301.140s step_avg:669.20ms
step:451/1500 train_time:301.800s step_avg:669.18ms
step:452/1500 train_time:302.469s step_avg:669.18ms
step:453/1500 train_time:303.129s step_avg:669.16ms
step:454/1500 train_time:303.796s step_avg:669.15ms
step:455/1500 train_time:304.456s step_avg:669.13ms
